UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3
1032,1,5.0,-1.0,-1.0
1358,1,-1.0,4.0,-1.0
1671,1,9.0,-1.0,-1.0
2363,1,3.0,-1.0,-1.0
2384,1,-1.0,8.0,-1.0
2817,1,-1.0,9.0,-1.0
2836,1,5.0,-1.0,-1.0
2887,1,4.0,-1.0,-1.0
3072,1,9.0,-1.0,-1.0
3527,1,6.0,-1.0,-1.0
3555,1,-1.0,6.0,-1.0
3572,1,3.0,-1.0,-1.0
4526,1,-1.0,3.0,-1.0
4786,1,-1.0,2.0,-1.0
5010,1,2.0,-1.0,-1.0
5067,1,7.0,-1.0,-1.0
5235,1,8.0,-1.0,-1.0
5254,1,4.0,-1.0,-1.0
5290,1,-1.0,0.0,-1.0
5539,1,-1.0,1.0,-1.0
5788,1,-1.0,9.0,-1.0
6483,1,3.0,-1.0,-1.0
6610,1,6.0,-1.0,-1.0
6836,1,5.0,-1.0,-1.0
7014,1,6.0,-1.0,-1.0
7512,1,-1.0,1.0,-1.0
7704,1,1.0,-1.0,-1.0
8023,1,0.0,-1.0,-1.0
8034,1,5.0,-1.0,-1.0
8681,1,7.0,-1.0,-1.0
9003,1,6.0,-1.0,-1.0
9462,1,-1.0,3.0,-1.0
9728,1,9.0,-1.0,-1.0
9865,1,6.0,-1.0,-1.0
10080,1,-1.0,8.0,-1.0
10757,1,-1.0,9.0,-1.0
10913,1,-1.0,3.0,-1.0
10943,1,-1.0,1.0,-1.0
11068,1,8.0,-1.0,-1.0
11091,1,0.0,-1.0,-1.0
11395,1,3.0,-1.0,-1.0
11883,1,-1.0,2.0,-1.0
11948,1,9.0,-1.0,-1.0
12110,1,-1.0,7.0,-1.0
12319,1,9.0,-1.0,-1.0
12410,1,1.0,-1.0,-1.0
12491,1,1.0,-1.0,-1.0
12500,1,9.0,-1.0,-1.0
12788,1,8.0,-1.0,-1.0
12802,1,4.0,-1.0,-1.0
12805,1,-1.0,3.0,-1.0
12973,1,-1.0,0.0,-1.0
13060,1,-1.0,0.0,-1.0
13106,1,-1.0,5.0,-1.0
13193,1,-1.0,5.0,-1.0
13247,1,8.0,-1.0,-1.0
13533,1,-1.0,9.0,-1.0
13935,1,-1.0,7.0,-1.0
14329,1,-1.0,9.0,-1.0
14582,1,-1.0,5.0,-1.0
15003,1,1.0,-1.0,-1.0
15487,1,7.0,-1.0,-1.0
15501,1,-1.0,8.0,-1.0
15698,1,-1.0,9.0,-1.0
15863,1,6.0,-1.0,-1.0
15955,1,3.0,-1.0,-1.0
16539,1,-1.0,9.0,-1.0
16990,1,-1.0,5.0,-1.0
17277,1,7.0,-1.0,-1.0
17533,1,2.0,-1.0,-1.0
17541,1,-1.0,6.0,-1.0
17776,1,1.0,-1.0,-1.0
17791,1,0.0,-1.0,-1.0
17840,1,-1.0,1.0,-1.0
18160,1,4.0,-1.0,-1.0
18180,1,-1.0,9.0,-1.0
18239,1,9.0,-1.0,-1.0
18250,1,2.0,-1.0,-1.0
18254,1,6.0,-1.0,-1.0
18297,1,3.0,-1.0,-1.0
18650,1,8.0,-1.0,-1.0
18780,1,9.0,-1.0,-1.0
18817,1,-1.0,6.0,-1.0
18907,1,8.0,-1.0,-1.0
19295,1,3.0,-1.0,-1.0
19467,1,9.0,-1.0,-1.0
19603,1,-1.0,9.0,-1.0
20013,1,-1.0,2.0,-1.0
20458,1,4.0,-1.0,-1.0
20551,1,4.0,-1.0,-1.0
20561,1,-1.0,1.0,-1.0
20666,1,-1.0,6.0,-1.0
20676,1,7.0,-1.0,-1.0
20766,1,-1.0,4.0,-1.0
21084,1,-1.0,9.0,-1.0
21135,1,-1.0,3.0,-1.0
21427,1,-1.0,8.0,-1.0
21899,1,-1.0,8.0,-1.0
21947,1,2.0,-1.0,-1.0
22156,1,-1.0,8.0,-1.0
22262,1,-1.0,5.0,-1.0
22272,1,3.0,-1.0,-1.0
